Link, Anchor Text
"https://www.facebook.com/cnn/?ref=nf", 
"https://www.facebook.com/cnn/?fref=nf", 
"https://www.facebook.com/cnn/videos/10154471306416509/", February 16
"https://www.facebook.com/barackobama/", Barack Obama
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F1XwerbH&h=lAQHZGNTSAQG2iyHu0dEvmAi4obN4mYzDjIxu90EpTitNrQ&enc=AZNtDVIUMu7QKTX_kht22JKGiS3BcXHeEEb63sZPK5JNNH2dhI8Jl-NP4ysiGajxk8BBd1670zC5XFFOc5_RViSkjC7JZbbd6MEHWzBkZQgrg9cTYIfbAC0eiMk4a9QBo72HCQvfPmfvW4bc9kj33MvMplyITL7Jz_OBGh_DA2dFQJHqXdnqAZvMh2dw07tBZOs3i4xok-oBmkEm-feaAa5z&s=1", http://cnn.it/1XwerbH
"https://www.facebook.com/cnn/videos/10154471306416509/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 931 Comments
"https://www.facebook.com/shares/view?id=10154471306416509&av=100000246601123", 1K Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154471306416509&av=100000246601123", 5.8K5.8K
"https://www.facebook.com/moveon/?ref=nf", 
"https://www.facebook.com/moveon/?fref=nf", 
"https://www.facebook.com/hashtag/scotusnominee?source=feed_text&story_id=10153425127400493", ‪#‎SCOTUSnominee‬
"http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F1VNXpIq&h=QAQHCIYsmAQFEoTS2sYdkBx8RThPa9omnPdRr4Freh-Nr7w&enc=AZNC51nNT2EDQwMjzXEnus0Rij2XjmcL0cSF5BKWmW1bJ0m-hRV0T3IgPXmabwsjEBl_FYPK1q05Iekt10t3vnFYc1tg4NYuHTvCmzkkDAOHcBfHXHPzrk_db3limCyJv4dwRTvz0vrG0zG5YRQzhv3xTiVBlewTGTtLd1V50bYtEZt193K0mcYr1bUsWQRnOTgZN4_xm0da3MYtJkfGDppI&s=1", bit.ly/1VNXpIq
"https://www.facebook.com/hashtag/doyourjob?source=feed_text&story_id=10153425127400493", ‪#‎DoYourJob‬
"https://www.facebook.com/moveon/posts/10153425127400493", See More
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.fresnobee.com%2Fopinion%2Feditorials%2Farticle73377192.html&h=aAQGj_tch&enc=AZPaV0fqckL5Fg4IZXhI3D6l79TyXTpWSHlREVlK-me_-cpP3Jo5zFpA-8fmA90lS934DtbbXNE6Xx7tuKF9d6aQd3aOSeARspg6hekZ5jqS_q0qfPQ9N6d4ZexAlYtFacFowViwy_akNY9vj_8sXqA4O2Y1EK5wGeIvhivvCi068CBM5R0G8m3Tb3Zcb-z-trm6zDruGP4UygCOoGT8hT-J&s=1", A ‘no comment’ from Supreme Court is not acceptable
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.fresnobee.com%2Fopinion%2Feditorials%2Farticle73377192.html&h=XAQFZGDN-AQH71xDZb6637P-hnDrGkFCtg_x9M-vJf6NezQ&enc=AZP1h615dPOrV_PSf7Y52pThiSpvdZr1D1MGY3tFsS__9cFxrvNk9_PYQPuCXbvtkLf3ZGTv4MvVUyfJnU2DHVQUzsd3vXgIQGhCmzEA3PrS_OUSVrR1f4alIhlbXAwuD3B6KZooTQngi1IiGCc4pCsVIRrwZ69q5mcuE7X76Sp3ixse5eRD8SmeSXgkfzP41KBL11CYjc3uumqy-HgvK7UQ&s=1", 
"https://www.facebook.com/moveon/posts/10153425127400493?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 9 Comments
"https://www.facebook.com/shares/view?id=10153425127400493&av=100000246601123", 4 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153425127400493&av=100000246601123", 7070
"https://www.facebook.com/barackobama/?ref=nf", 
"https://www.facebook.com/barackobama/?fref=nf", 
"https://www.facebook.com/barackobama/photos/a.53081056748.66806.6815841748/10153666844461749/?type=3", 
"https://www.facebook.com/barackobama/photos/a.53081056748.66806.6815841748/10153666844461749/?type=3&comment_tracking=%7B%22tn%22%3A%22O%22%7D", 8.6K Comments
"https://www.facebook.com/shares/view?id=10153666844461749&av=100000246601123", 27K Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153666844461749&av=100000246601123", 173K173K
"https://www.facebook.com/usatoday/?ref=nf", 
"https://www.facebook.com/usatoday/?fref=nf", 
"https://www.facebook.com/usatoday/videos/10153396045685667/", March 16
"https://www.facebook.com/pages/Tysons-Corner-Virginia/107499869279476", Tysons Corner, VA
"https://www.facebook.com/usatoday/videos/10153396045685667/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 194 Comments
"https://www.facebook.com/shares/view?id=10153396045685667&av=100000246601123", 300 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153396045685667&av=100000246601123", 2.6K2.6K
"https://www.facebook.com/abcnews/?ref=nf", 
"https://www.facebook.com/abcnews/?fref=nf", 
"https://www.facebook.com/abcnews/posts/10154339695113812", April 20 at 10:10am
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1SkGCGF&h=1AQF5GK20AQFNQL6sRA0CO2C0GY6Pu892nHJxuIinOffuqA&enc=AZMQ6F0FOw8_0u8q7lD2HYONsePN4xlZjNN57bVzCecRWsTAXoJW2F-6N-dJLgQSwWgx4kVMAXwDV31caWSpWSkQJlG01yvVYKZ9Gmfdy-5te-OygUOFbnMECdRaJCFpARJ2dhuAav1HYOMjsQJpJiWYKSiOiZ3F1q0pGhxGqiAWtaB6RCv6MaCJnlQDcfCSdjMU-Z-ujR5LcWh8TfDLYufi&s=1", abcn.ws/1SkGCGF
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1SkGCGF&h=tAQG2A3Ft&enc=AZO3wfyermzj9pvltKna1VpnP9xT9GSZEm1jJkCrQ-nkAVH70Y8CnYTM15SYbfZBujNI2t-hiTP_eXhUOaKuzdHIJr6HgW59VbfMOWvs3UNokV28fFpioM4GiTVROkE0A3IZKpvUDJlGS1ICJWQhENGrglfjXknjeNiOzXQ3g2eTLIYui65ssjk8lf6BpUm0ho5E6MEyGt94fFRNO_yF3e6Z&s=1", Terror Victims Win Supreme Court Judgment Against Iran
